100,0.0269413,0.183105,0.147135
200,0.0519753,0.185966,0.279487
300,0.108957,0.22006,0.495125
400,0.117064,0.234842,0.498477
500,0.12517,0.219822,0.569414
600,0.252962,0.27895,0.906838
700,0.26679,0.276089,0.966321
800,0.276089,0.268936,1.0266
900,0.301123,0.276089,1.09067
1000,0.295162,0.282049,1.04649
1100,0.648975,0.362158,1.79197
1200,0.67687,0.324011,2.08904
1300,0.618935,0.334978,1.84769
1400,0.629902,0.323057,1.94982
1500,0.633955,0.343084,1.84781
1600,0.69499,0.337124,2.06153
1700,0.670195,0.333786,2.00786
1800,0.663042,0.344038,1.92723
1900,0.68593,0.339031,2.02321
2000,0.696898,0.339031,2.05556
2100,1.33896,0.427961,3.12869
2200,1.35779,0.406027,3.3441
2300,1.36805,0.404119,3.38525
2400,1.4751,0.433922,3.39945
2500,1.405,0.406027,3.46036
2600,1.41597,0.409126,3.46096
2700,2.14195,0.406981,5.26303
2800,1.44506,0.401974,3.5949
2900,1.46103,0.399828,3.65414
3000,1.57094,0.443935,3.53867
3100,1.48988,0.405073,3.67805
3200,1.54805,0.440836,3.51163
3300,1.56188,0.405073,3.8558
3400,1.65606,0.412941,4.01039
3500,1.52898,0.408173,3.74591
3600,2.19011,0.399828,5.47764
3700,1.56212,0.396967,3.93514
3800,1.56903,0.39506,3.97164
3900,1.58215,0.41604,3.80287
4000,1.74499,0.408888,4.26764
4100,3.35598,0.543118,6.1791
4200,3.83592,0.535011,7.16979
4300,3.613,0.485897,7.43572
4400,3.58987,0.494003,7.26689
4500,3.83186,0.494003,7.75676
4600,3.86882,0.490189,7.89251
4700,3.19099,0.797987,3.9988
4800,3.43394,0.490189,7.00535
4900,3.21293,0.487089,6.59618
5000,3.22986,0.494957,6.52553
